VARIABLE NAME,developer-friendly name,NAME OF DATA ELEMENT,SOURCE,dev-category
LO_INC_WDRAW_4YR_TRANS_YR6_RT,title_iv.low_inc.transf_withdrawn_4yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 6 years",NSLDS,completion
LO_INC_WDRAW_2YR_TRANS_YR6_RT,title_iv.low_inc.transf_withdrawn_2yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 6 years",NSLDS,completion
LO_INC_ENRL_ORIG_YR6_RT,title_iv.low_inc.still_enrolled_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who were still enrolled at original institution within 6 years",NSLDS,completion
LO_INC_ENRL_4YR_TRANS_YR6_RT,title_iv.low_inc.transf_still_enrolled_4yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years",NSLDS,completion
LO_INC_ENRL_2YR_TRANS_YR6_RT,title_iv.low_inc.transf_still_enrolled_2yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 6 years",NSLDS,completion
LO_INC_UNKN_ORIG_YR6_RT,title_iv.low_inc.unknown_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students with status unknown within 6 years at original institution",NSLDS,completion
LO_INC_UNKN_4YR_TRANS_YR6_RT,title_iv.low_inc.transf_unknown_4yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 6 years",NSLDS,completion
LO_INC_UNKN_2YR_TRANS_YR6_RT,title_iv.low_inc.transf_unknown_2yr_by.6yrs,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 6 years",NSLDS,completion
MD_INC_DEATH_YR6_RT,title_iv.mid_inc.died_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 6 years at original institution",NSLDS,completion
MD_INC_COMP_ORIG_YR6_RT,title_iv.mid_inc.completed_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 6 years at original institution",NSLDS,completion
MD_INC_COMP_4YR_TRANS_YR6_RT,title_iv.mid_inc.transf_completed_4yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 6 years",NSLDS,completion
MD_INC_COMP_2YR_TRANS_YR6_RT,title_iv.mid_inc.transf_completed_2yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 6 years",NSLDS,completion
MD_INC_WDRAW_ORIG_YR6_RT,title_iv.mid_inc.withdrawn_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 6 years",NSLDS,completion
MD_INC_WDRAW_4YR_TRANS_YR6_RT,title_iv.mid_inc.transf_withdrawn_4yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 6 years",NSLDS,completion
MD_INC_WDRAW_2YR_TRANS_YR6_RT,title_iv.mid_inc.transf_withdrawn_2yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 6 years",NSLDS,completion
MD_INC_ENRL_ORIG_YR6_RT,title_iv.mid_inc.still_enrolled_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who were still enrolled at original institution within 6 years",NSLDS,completion
MD_INC_ENRL_4YR_TRANS_YR6_RT,title_iv.mid_inc.transf_still_enrolled_4yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years",NSLDS,completion
MD_INC_ENRL_2YR_TRANS_YR6_RT,title_iv.mid_inc.transf_still_enrolled_2yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 6 years",NSLDS,completion
MD_INC_UNKN_ORIG_YR6_RT,title_iv.mid_inc.unknown_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 6 years at original institution",NSLDS,completion
MD_INC_UNKN_4YR_TRANS_YR6_RT,title_iv.mid_inc.transf_unknown_4yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 6 years",NSLDS,completion
MD_INC_UNKN_2YR_TRANS_YR6_RT,title_iv.mid_inc.transf_unknown_2yr_by.6yrs,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 6 years",NSLDS,completion
HI_INC_DEATH_YR6_RT,title_iv.high_inc.died_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who died within 6 years at original institution",NSLDS,completion
HI_INC_COMP_ORIG_YR6_RT,title_iv.high_inc.completed_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who completed within 6 years at original institution",NSLDS,completion
HI_INC_COMP_4YR_TRANS_YR6_RT,title_iv.high_inc.transf_completed_4yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 6 years",NSLDS,completion
HI_INC_COMP_2YR_TRANS_YR6_RT,title_iv.high_inc.transf_completed_2yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 6 years",NSLDS,completion
HI_INC_WDRAW_ORIG_YR6_RT,title_iv.high_inc.withdrawn_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students withdrawn from original institution within 6 years",NSLDS,completion
HI_INC_WDRAW_4YR_TRANS_YR6_RT,title_iv.high_inc.transf_withdrawn_4yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 6 years",NSLDS,completion
HI_INC_WDRAW_2YR_TRANS_YR6_RT,title_iv.high_inc.transf_withdrawn_2yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and withdrew within 6 years",NSLDS,completion
HI_INC_ENRL_ORIG_YR6_RT,title_iv.high_inc.still_enrolled_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 6 years",NSLDS,completion
HI_INC_ENRL_4YR_TRANS_YR6_RT,title_iv.high_inc.transf_still_enrolled_4yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 6 years",NSLDS,completion
HI_INC_ENRL_2YR_TRANS_YR6_RT,title_iv.high_inc.transf_still_enrolled_2yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 6 years",NSLDS,completion
HI_INC_UNKN_ORIG_YR6_RT,title_iv.high_inc.unknown_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students with status unknown within 6 years at original institution",NSLDS,completion
HI_INC_UNKN_4YR_TRANS_YR6_RT,title_iv.high_inc.transf_unknown_4yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and whose status is unknown within 6 years",NSLDS,completion
HI_INC_UNKN_2YR_TRANS_YR6_RT,title_iv.high_inc.transf_unknown_2yr_by.6yrs,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 6 years",NSLDS,completion
DEP_DEATH_YR6_RT,title_iv.depend.died_by.6yrs,Percent of dependent students who died within 6 years at original institution,NSLDS,completion
DEP_COMP_ORIG_YR6_RT,title_iv.depend.completed_by.6yrs,Percent of dependent students who completed within 6 years at original institution,NSLDS,completion
DEP_COMP_4YR_TRANS_YR6_RT,title_iv.depend.transf_completed_4yr_by.6yrs,Percent of dependent students who transferred to a 4-year institution and completed within 6 years,NSLDS,completion
DEP_COMP_2YR_TRANS_YR6_RT,title_iv.depend.transf_completed_2yr_by.6yrs,Percent of dependent students who transferred to a 2-year institution and completed within 6 years,NSLDS,completion
DEP_WDRAW_ORIG_YR6_RT,title_iv.depend.withdrawn_by.6yrs,Percent of dependent students withdrawn from original institution within 6 years,NSLDS,completion
DEP_WDRAW_4YR_TRANS_YR6_RT,title_iv.depend.transf_withdrawn_4yr_by.6yrs,Percent of dependent students who transferred to a 4-year institution and withdrew within 6 years,NSLDS,completion
DEP_WDRAW_2YR_TRANS_YR6_RT,title_iv.depend.transf_withdrawn_2yr_by.6yrs,Percent of dependent students who transferred to a 2-year institution and withdrew within 6 years,NSLDS,completion
DEP_ENRL_ORIG_YR6_RT,title_iv.depend.still_enrolled_by.6yrs,Percent of dependent students who were still enrolled at original institution within 6 years,NSLDS,completion
DEP_ENRL_4YR_TRANS_YR6_RT,title_iv.depend.transf_still_enrolled_4yr_by.6yrs,Percent of dependent students who transferred to a 4-year institution and were still enrolled within 6 years,NSLDS,completion
DEP_ENRL_2YR_TRANS_YR6_RT,title_iv.depend.transf_still_enrolled_2yr_by.6yrs,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 6 years,NSLDS,completion
DEP_UNKN_ORIG_YR6_RT,title_iv.depend.unknown_by.6yrs,Percent of dependent students with status unknown within 6 years at original institution,NSLDS,completion
DEP_UNKN_4YR_TRANS_YR6_RT,title_iv.depend.transf_unknown_4yr_by.6yrs,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 6 years,NSLDS,completion
DEP_UNKN_2YR_TRANS_YR6_RT,title_iv.depend.transf_unknown_2yr_by.6yrs,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 6 years,NSLDS,completion
IND_DEATH_YR6_RT,title_iv.independ.died_by.6yrs,Percent of independent students who died within 6 years at original institution,NSLDS,completion
IND_COMP_ORIG_YR6_RT,title_iv.independ.completed_by.6yrs,Percent of independent students who completed within 6 years at original institution,NSLDS,completion
IND_COMP_4YR_TRANS_YR6_RT,title_iv.independ.transf_completed_4yr_by.6yrs,Percent of independent students who transferred to a 4-year institution and completed within 6 years,NSLDS,completion
IND_COMP_2YR_TRANS_YR6_RT,title_iv.independ.transf_completed_2yr_by.6yrs,Percent of independent students who transferred to a 2-year institution and completed within 6 years,NSLDS,completion
IND_WDRAW_ORIG_YR6_RT,title_iv.independ.withdrawn_by.6yrs,Percent of independent students withdrawn from original institution within 6 years,NSLDS,completion
IND_WDRAW_4YR_TRANS_YR6_RT,title_iv.independ.transf_withdrawn_4yr_by.6yrs,Percent of independent students who transferred to a 4-year institution and withdrew within 6 years,NSLDS,completion
IND_WDRAW_2YR_TRANS_YR6_RT,title_iv.independ.transf_withdrawn_2yr_by.6yrs,Percent of independent students who transferred to a 2-year institution and withdrew within 6 years,NSLDS,completion
IND_ENRL_ORIG_YR6_RT,title_iv.independ.still_enrolled_by.6yrs,Percent of independent students who were still enrolled at original institution within 6 years,NSLDS,completion
IND_ENRL_4YR_TRANS_YR6_RT,title_iv.independ.transf_still_enrolled_4yr_by.6yrs,Percent of independent students who transferred to a 4-year institution and were still enrolled within 6 years,NSLDS,completion
IND_ENRL_2YR_TRANS_YR6_RT,title_iv.independ.transf_still_enrolled_2yr_by.6yrs,Percent of independent students who transferred to a 2-year institution and were still enrolled within 6 years,NSLDS,completion
IND_UNKN_ORIG_YR6_RT,title_iv.independ.unknown_by.6yrs,Percent of independent students with status unknown within 6 years at original institution,NSLDS,completion
IND_UNKN_4YR_TRANS_YR6_RT,title_iv.independ.transf_unknown_4yr_by.6yrs,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 6 years,NSLDS,completion
IND_UNKN_2YR_TRANS_YR6_RT,title_iv.independ.transf_unknown_2yr_by.6yrs,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 6 years,NSLDS,completion
FEMALE_DEATH_YR6_RT,title_iv.female.died_by.6yrs,Percent of female students who died within 6 years at original institution,NSLDS,completion
FEMALE_COMP_ORIG_YR6_RT,title_iv.female.completed_by.6yrs,Percent of female students who completed within 6 years at original institution,NSLDS,completion
FEMALE_COMP_4YR_TRANS_YR6_RT,title_iv.female.transf_completed_4yr_by.6yrs,Percent of female students who transferred to a 4-year institution and completed within 6 years,NSLDS,completion
FEMALE_COMP_2YR_TRANS_YR6_RT,title_iv.female.transf_completed_2yr_by.6yrs,Percent of female students who transferred to a 2-year institution and completed within 6 years,NSLDS,completion
FEMALE_WDRAW_ORIG_YR6_RT,title_iv.female.withdrawn_by.6yrs,Percent of female students withdrawn from original institution within 6 years,NSLDS,completion
FEMALE_WDRAW_4YR_TRANS_YR6_RT,title_iv.female.transf_withdrawn_4yr_by.6yrs,Percent of female students who transferred to a 4-year institution and withdrew within 6 years,NSLDS,completion
FEMALE_WDRAW_2YR_TRANS_YR6_RT,title_iv.female.transf_withdrawn_2yr_by.6yrs,Percent of female students who transferred to a 2-year institution and withdrew within 6 years,NSLDS,completion
FEMALE_ENRL_ORIG_YR6_RT,title_iv.female.still_enrolled_by.6yrs,Percent of female students who were still enrolled at original institution within 6 years,NSLDS,completion
FEMALE_ENRL_4YR_TRANS_YR6_RT,title_iv.female.transf_still_enrolled_4yr_by.6yrs,Percent of female students who transferred to a 4-year institution and were still enrolled within 6 years,NSLDS,completion
FEMALE_ENRL_2YR_TRANS_YR6_RT,title_iv.female.transf_still_enrolled_2yr_by.6yrs,Percent of female students who transferred to a 2-year institution and were still enrolled within 6 years,NSLDS,completion
FEMALE_UNKN_ORIG_YR6_RT,title_iv.female.unknown_by.6yrs,Percent of female students with status unknown within 6 years at original institution,NSLDS,completion
